,breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,tokens
33,Belgian Tervuren,"the belgian tervuren is characterized by a straight and abundant coat, an elegant but muscular frame, a proudly carried head, an alert and intelligent demeanor, and an insatiable work drive. the tervuren’s coat furnishings, like the sporty “collarette” around the neck, are more profuse on males, who run larger than females.“their intelligence and high activity level can be a challenge for the less creative individual who may not understand the breed’s need to work,” warns one longtime owner. but don’t get the idea that tervurens are grim, mechanical worker drones. in fact, this breed takes real delight in their ability to master any task, and owners say a mischievous sense of humor is at work whenever tervurens outsmart their beloved human. the elegant, agile belgian tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. lots of hard work and challenging play is heaven for this tireless, do-it-all dog.","Courageous, Alert, Intelligent",106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,"['the', 'belgian', 'tervuren', 'is', 'characterized', 'by', 'a', 'straight', 'and', 'abundant', 'coat', 'an', 'elegant', 'but', 'muscular', 'frame', 'a', 'proudly', 'carried', 'head', 'an', 'alert', 'and', 'intelligent', 'demeanor', 'and', 'an', 'insatiable', 'work', 'drive', 'the', 'tervuren', 's', 'coat', 'furnishings', 'like', 'the', 'sporty', 'collarette', 'around', 'the', 'neck', 'are', 'more', 'profuse', 'on', 'males', 'who', 'run', 'larger', 'than', 'females', 'their', 'intelligence', 'and', 'high', 'activity', 'level', 'can', 'be', 'a', 'challenge', 'for', 'the', 'less', 'creative', 'individual', 'who', 'may', 'not', 'understand', 'the', 'breed', 's', 'need', 'to', 'work', 'warns', 'one', 'longtime', 'owner', 'but', 'don', 't', 'get', 'the', 'idea', 'that', 'tervurens', 'are', 'grim', 'mechanical', 'worker', 'drones', 'in', 'fact', 'this', 'breed', 'takes', 'real', 'delight', 'in', 'their', 'ability', 'to', 'master', 'any', 'task', 'and', 'owners', 'say', 'a', 'mischievous', 'sense', 'of', 'humor', 'is', 'at', 'work', 'whenever', 'tervurens', 'outsmart', 'their', 'beloved', 'human', 'the', 'elegant', 'agile', 'belgian', 'tervuren', 'is', 'a', 'bright', 'and', 'self', 'assured', 'herding', 'dog', 'of', 'medium', 'size', 'known', 'to', 'be', 'affectionate', 'and', 'possessive', 'with', 'loved', 'ones', 'lots', 'of', 'hard', 'work', 'and', 'challenging', 'play', 'is', 'heaven', 'for', 'this', 'tireless', 'do', 'it', 'all', 'dog']"
34,Bergamasco Sheepdog,"beneath the one-of-a-kind coat is a large, muscular shepherd dog of ancient pedigree. but, since the coat is the breed’s hallmark, let’s take a close look. the bergamasco sheepdog has hair of three different textures that form naturally occurring loose mats, or “flocks” (strands of hair woven together, creating flat layers of felted hair), covering the body and legs. the flocks provide protection from the fierce cold and wild predators of the italian alps, the breed’s ancestral homeland.bergamascos are bright, loyal, loving, and trainable—with a dash of mountain-dog independence. they take to watching over loved ones with a serene vigilance. wary of strangers until properly introduced, bergamascos are aggressive only as a last resort. generally happy with kids and other animals, the low-maintenance and robustly healthy bergamasco is much more than a show-stopping hairdo. eager to please, smart, and stubbornly devoted to work, bergamascos are patient but protective.","Independent, Sociable, Intelligent",187,55.88,59.69,25.85476509,38.10175908,13.0,15.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers,"['beneath', 'the', 'one', 'of', 'a', 'kind', 'coat', 'is', 'a', 'large', 'muscular', 'shepherd', 'dog', 'of', 'ancient', 'pedigree', 'but', 'since', 'the', 'coat', 'is', 'the', 'breed', 's', 'hallmark', 'let', 's', 'take', 'a', 'close', 'look', 'the', 'bergamasco', 'sheepdog', 'has', 'hair', 'of', 'three', 'different', 'textures', 'that', 'form', 'naturally', 'occurring', 'loose', 'mats', 'or', 'flocks', 'strands', 'of', 'hair', 'woven', 'together', 'creating', 'flat', 'layers', 'of', 'felted', 'hair', 'covering', 'the', 'body', 'and', 'legs', 'the', 'flocks', 'provide', 'protection', 'from', 'the', 'fierce', 'cold', 'and', 'wild', 'predators', 'of', 'the', 'italian', 'alps', 'the', 'breed', 's', 'ancestral', 'homeland', 'bergamascos', 'are', 'bright', 'loyal', 'loving', 'and', 'trainable', 'with', 'a', 'dash', 'of', 'mountain', 'dog', 'independence', 'they', 'take', 'to', 'watching', 'over', 'loved', 'ones', 'with', 'a', 'serene', 'vigilance', 'wary', 'of', 'strangers', 'until', 'properly', 'introduced', 'bergamascos', 'are', 'aggressive', 'only', 'as', 'a', 'last', 'resort', 'generally', 'happy', 'with', 'kids', 'and', 'other', 'animals', 'the', 'low', 'maintenance', 'and', 'robustly', 'healthy', 'bergamasco', 'is', 'much', 'more', 'than', 'a', 'show', 'stopping', 'hairdo', 'eager', 'to', 'please', 'smart', 'and', 'stubbornly', 'devoted', 'to', 'work', 'bergamascos', 'are', 'patient', 'but', 'protective']"
35,Berger Picard,"you can spot a berger picard a mile away thanks to his erect ears standing 4 to 5 inches high, a wavy fawn or brindle coat, and a strong tail that tapers to a distinctive j-hook. males stand as high as 26 inches, and females as low as 21 inches. the eyes are dark and glistening, and the rectangular head is furnished with shaggy eyebrows, beard, and mustache— the very image of a sagacious and worldly frenchman.the berger picard is an ideal companion for athletic owners. their rugged constitution, agility, and boundless energy make them eager partners in all kinds of sports, games, and outdoor pastimes. exercise is a must; prolonged idleness and neglect will likely lead these sensitive, super-smart dogs to destructive behavior. the berger picard is a lanky herding dog of strong bone and sturdy build. picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak.","Loyal, Good-Natured, Observant",144,54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive,"['you', 'can', 'spot', 'a', 'berger', 'picard', 'a', 'mile', 'away', 'thanks', 'to', 'his', 'erect', 'ears', 'standing', '4', 'to', '5', 'inches', 'high', 'a', 'wavy', 'fawn', 'or', 'brindle', 'coat', 'and', 'a', 'strong', 'tail', 'that', 'tapers', 'to', 'a', 'distinctive', 'j', 'hook', 'males', 'stand', 'as', 'high', 'as', '26', 'inches', 'and', 'females', 'as', 'low', 'as', '21', 'inches', 'the', 'eyes', 'are', 'dark', 'and', 'glistening', 'and', 'the', 'rectangular', 'head', 'is', 'furnished', 'with', 'shaggy', 'eyebrows', 'beard', 'and', 'mustache', 'the', 'very', 'image', 'of', 'a', 'sagacious', 'and', 'worldly', 'frenchman', 'the', 'berger', 'picard', 'is', 'an', 'ideal', 'companion', 'for', 'athletic', 'owners', 'their', 'rugged', 'constitution', 'agility', 'and', 'boundless', 'energy', 'make', 'them', 'eager', 'partners', 'in', 'all', 'kinds', 'of', 'sports', 'games', 'and', 'outdoor', 'pastimes', 'exercise', 'is', 'a', 'must', 'prolonged', 'idleness', 'and', 'neglect', 'will', 'likely', 'lead', 'these', 'sensitive', 'super', 'smart', 'dogs', 'to', 'destructive', 'behavior', 'the', 'berger', 'picard', 'is', 'a', 'lanky', 'herding', 'dog', 'of', 'strong', 'bone', 'and', 'sturdy', 'build', 'picards', 'spent', 'centuries', 'as', 'take', 'charge', 'independent', 'problem', 'solvers', 'so', 'early', 'socialization', 'and', 'positive', 'training', 'are', 'necessary', 'to', 'cope', 'with', 'their', 'stubborn', 'streak']"
36,Bernese Mountain Dog,"the bernese mountain dog is a large, sturdy worker who can stand over 27 inches at the shoulder. the thick, silky, and moderately long coat is tricolored: jet black, clear white, and rust. the distinctive markings on the coat and face are breed hallmarks and, combined with the intelligent gleam in the dark eyes, add to the berner’s aura of majestic nobility. a hardy dog who thrives in cold weather, the berner’s brain and brawn helped him multitask on the farms and pastures of switzerland.berners get along with the entire family and are particularly gentle with children, but they will often become more attached to one lucky human. berners are imposing but not threatening, and they maintain an aloof dignity with strangers. big, powerful, and built for hard work, the bernese mountain dog is also strikingly beautiful and blessed with a sweet, affectionate nature. berners are generally placid but are always up for a romp with the owner, whom they live to please.","Good-Natured, Calm, Strong",22,58.42,69.85,31.751465900000003,52.16312255,7.0,10.0,Working Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,"['the', 'bernese', 'mountain', 'dog', 'is', 'a', 'large', 'sturdy', 'worker', 'who', 'can', 'stand', 'over', '27', 'inches', 'at', 'the', 'shoulder', 'the', 'thick', 'silky', 'and', 'moderately', 'long', 'coat', 'is', 'tricolored', 'jet', 'black', 'clear', 'white', 'and', 'rust', 'the', 'distinctive', 'markings', 'on', 'the', 'coat', 'and', 'face', 'are', 'breed', 'hallmarks', 'and', 'combined', 'with', 'the', 'intelligent', 'gleam', 'in', 'the', 'dark', 'eyes', 'add', 'to', 'the', 'berner', 's', 'aura', 'of', 'majestic', 'nobility', 'a', 'hardy', 'dog', 'who', 'thrives', 'in', 'cold', 'weather', 'the', 'berner', 's', 'brain', 'and', 'brawn', 'helped', 'him', 'multitask', 'on', 'the', 'farms', 'and', 'pastures', 'of', 'switzerland', 'berners', 'get', 'along', 'with', 'the', 'entire', 'family', 'and', 'are', 'particularly', 'gentle', 'with', 'children', 'but', 'they', 'will', 'often', 'become', 'more', 'attached', 'to', 'one', 'lucky', 'human', 'berners', 'are', 'imposing', 'but', 'not', 'threatening', 'and', 'they', 'maintain', 'an', 'aloof', 'dignity', 'with', 'strangers', 'big', 'powerful', 'and', 'built', 'for', 'hard', 'work', 'the', 'bernese', 'mountain', 'dog', 'is', 'also', 'strikingly', 'beautiful', 'and', 'blessed', 'with', 'a', 'sweet', 'affectionate', 'nature', 'berners', 'are', 'generally', 'placid', 'but', 'are', 'always', 'up', 'for', 'a', 'romp', 'with', 'the', 'owner', 'whom', 'they', 'live', 'to', 'please']"
37,Bichon Frise,"a good-size bichon will stand a shade under a foot tall at the shoulder. the breed’s glory is a white hypoallergenic coat, plush and velvety to the touch, featuring rounded head hair that sets off the large, dark eyes and black leathers of the nose and lips.bichons are adaptable companions who get on well with other dogs and children. alert and curious, bichons make nice little watchdogs—but they are lovers, not fighters, and operate under the assumption that there are no strangers, just friends they haven’t met yet. their confidence and size make them ideal city dogs. bichons train nicely and enjoy performing for their loved ones. finally, there’s the happy-go-lucky bichon personality that draws smiles and hugs wherever they go. the small but sturdy and resilient bichon frise stands among the world’s great “personality dogs.” since antiquity, these irresistible canine comedians have relied on charm, beauty, and intelligence to weather history’s ups and downs.","Playful, Curious, Peppy",46,24.13,29.21,5.4431084400000005,8.164662660000001,14.0,15.0,Non-Sporting Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing,"['a', 'good', 'size', 'bichon', 'will', 'stand', 'a', 'shade', 'under', 'a', 'foot', 'tall', 'at', 'the', 'shoulder', 'the', 'breed', 's', 'glory', 'is', 'a', 'white', 'hypoallergenic', 'coat', 'plush', 'and', 'velvety', 'to', 'the', 'touch', 'featuring', 'rounded', 'head', 'hair', 'that', 'sets', 'off', 'the', 'large', 'dark', 'eyes', 'and', 'black', 'leathers', 'of', 'the', 'nose', 'and', 'lips', 'bichons', 'are', 'adaptable', 'companions', 'who', 'get', 'on', 'well', 'with', 'other', 'dogs', 'and', 'children', 'alert', 'and', 'curious', 'bichons', 'make', 'nice', 'little', 'watchdogs', 'but', 'they', 'are', 'lovers', 'not', 'fighters', 'and', 'operate', 'under', 'the', 'assumption', 'that', 'there', 'are', 'no', 'strangers', 'just', 'friends', 'they', 'haven', 't', 'met', 'yet', 'their', 'confidence', 'and', 'size', 'make', 'them', 'ideal', 'city', 'dogs', 'bichons', 'train', 'nicely', 'and', 'enjoy', 'performing', 'for', 'their', 'loved', 'ones', 'finally', 'there', 's', 'the', 'happy', 'go', 'lucky', 'bichon', 'personality', 'that', 'draws', 'smiles', 'and', 'hugs', 'wherever', 'they', 'go', 'the', 'small', 'but', 'sturdy', 'and', 'resilient', 'bichon', 'frise', 'stands', 'among', 'the', 'world', 's', 'great', 'personality', 'dogs', 'since', 'antiquity', 'these', 'irresistible', 'canine', 'comedians', 'have', 'relied', 'on', 'charm', 'beauty', 'and', 'intelligence', 'to', 'weather', 'history', 's', 'ups', 'and', 'downs']"
38,Biewer Terrier,"the biewer terrier, pronounced beaver like the little dam building animals, is a dedicated, loyal family member and a friend to all they meet. it is not uncommon to be met with a smile from this happy-go-lucky dog.  although not a constant barker, they will alert you to company. with a larger than life personality, their lighthearted, childlike whimsical attitude will keep you entertained for hours. in spite of their small stature they are hearty and athletic, able to keep up with the best of them on long walks, hikes or competing in the agility ring. the biewer terrier is an elegant, longhaired, tri-colored toy terrier whose only purpose in life is to love and be loved. they maintain a charming, whimsical attitude well into adulthood. carrying around a toy or two is not surprising.","Intelligent, Devoted, Amusing",,17.78,27.94,1.81436948,3.62873896,16.0,16.0,Miscellaneous Class,0.6,2-3 Times a Week Brushing,,,0.4,Calm,1.0,Eager to Please,1.0,Outgoing,"['the', 'biewer', 'terrier', 'pronounced', 'beaver', 'like', 'the', 'little', 'dam', 'building', 'animals', 'is', 'a', 'dedicated', 'loyal', 'family', 'member', 'and', 'a', 'friend', 'to', 'all', 'they', 'meet', 'it', 'is', 'not', 'uncommon', 'to', 'be', 'met', 'with', 'a', 'smile', 'from', 'this', 'happy', 'go', 'lucky', 'dog', 'although', 'not', 'a', 'constant', 'barker', 'they', 'will', 'alert', 'you', 'to', 'company', 'with', 'a', 'larger', 'than', 'life', 'personality', 'their', 'lighthearted', 'childlike', 'whimsical', 'attitude', 'will', 'keep', 'you', 'entertained', 'for', 'hours', 'in', 'spite', 'of', 'their', 'small', 'stature', 'they', 'are', 'hearty', 'and', 'athletic', 'able', 'to', 'keep', 'up', 'with', 'the', 'best', 'of', 'them', 'on', 'long', 'walks', 'hikes', 'or', 'competing', 'in', 'the', 'agility', 'ring', 'the', 'biewer', 'terrier', 'is', 'an', 'elegant', 'longhaired', 'tri', 'colored', 'toy', 'terrier', 'whose', 'only', 'purpose', 'in', 'life', 'is', 'to', 'love', 'and', 'be', 'loved', 'they', 'maintain', 'a', 'charming', 'whimsical', 'attitude', 'well', 'into', 'adulthood', 'carrying', 'around', 'a', 'toy', 'or', 'two', 'is', 'not', 'surprising']"
39,Black and Tan Coonhound,"black and tans have an amazingly sensitive nose, long, velvety ears, and a sweet disposition. the coal-black coat features rich tan accents, including the distinctive “pumpkin seeds” above keenly expressive eyes. these are big, strong hounds: a good-size male can stand 27 inches at the shoulder and cover ground with effortless, eager strides.b&ts are sociable hounds. a lonely b&t will serenade the neighborhood with loud, mournful “music.” b&ts can keep pace with the most active family, but they also can hog the sofa for hours on end. hounds will be hounds: a passing squirrel can arouse b&t prey drive in no time flat, so a strong leash and sturdy fence are must-haves. b&ts might be too much hound for the lifestyle of every owner. large, athletic hunters who work nights, black and tan coonhounds are friendly, easygoing hounds who love company. they are snoozy by the fireside but tenacious when on the trail of the wily raccoon. this hound is a real american original.","Easy-Going, Bright, Brave",138,58.42,68.58,29.48350405,49.895160700000005,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.8,Friendly,"['black', 'and', 'tans', 'have', 'an', 'amazingly', 'sensitive', 'nose', 'long', 'velvety', 'ears', 'and', 'a', 'sweet', 'disposition', 'the', 'coal', 'black', 'coat', 'features', 'rich', 'tan', 'accents', 'including', 'the', 'distinctive', 'pumpkin', 'seeds', 'above', 'keenly', 'expressive', 'eyes', 'these', 'are', 'big', 'strong', 'hounds', 'a', 'good', 'size', 'male', 'can', 'stand', '27', 'inches', 'at', 'the', 'shoulder', 'and', 'cover', 'ground', 'with', 'effortless', 'eager', 'strides', 'b', 'ts', 'are', 'sociable', 'hounds', 'a', 'lonely', 'b', 't', 'will', 'serenade', 'the', 'neighborhood', 'with', 'loud', 'mournful', 'music', 'b', 'ts', 'can', 'keep', 'pace', 'with', 'the', 'most', 'active', 'family', 'but', 'they', 'also', 'can', 'hog', 'the', 'sofa', 'for', 'hours', 'on', 'end', 'hounds', 'will', 'be', 'hounds', 'a', 'passing', 'squirrel', 'can', 'arouse', 'b', 't', 'prey', 'drive', 'in', 'no', 'time', 'flat', 'so', 'a', 'strong', 'leash', 'and', 'sturdy', 'fence', 'are', 'must', 'haves', 'b', 'ts', 'might', 'be', 'too', 'much', 'hound', 'for', 'the', 'lifestyle', 'of', 'every', 'owner', 'large', 'athletic', 'hunters', 'who', 'work', 'nights', 'black', 'and', 'tan', 'coonhounds', 'are', 'friendly', 'easygoing', 'hounds', 'who', 'love', 'company', 'they', 'are', 'snoozy', 'by', 'the', 'fireside', 'but', 'tenacious', 'when', 'on', 'the', 'trail', 'of', 'the', 'wily', 'raccoon', 'this', 'hound', 'is', 'a', 'real', 'american', 'original']"
40,Black Russian Terrier,"what’s the word we’re looking for? imposing? massive? majestic? how about just plain “big.” this brawny guard dog of the siberian steppes can tip the scales at 140 pounds and stand as high as 30 inches at the shoulder. they’re much taller when the huge, brick-shaped head is considered. the tousled, all-black coat is warm enough to allow brts to patrol some of the coldest habitable places on earth. the old expression “he moves well for a big guy” applies to this nimble-footed giant. the black russian terrier is a large, immensely powerful worker of heavy bone and coarse all-black coat. brts are known for their courage, confidence, and intelligence. bred to guard and protect, they are naturally aloof with strangers.","Intelligent, Calm, Powerful",118,66.04,76.2,36.2873896,58.9670081,10.0,12.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,"['what', 's', 'the', 'word', 'we', 're', 'looking', 'for', 'imposing', 'massive', 'majestic', 'how', 'about', 'just', 'plain', 'big', 'this', 'brawny', 'guard', 'dog', 'of', 'the', 'siberian', 'steppes', 'can', 'tip', 'the', 'scales', 'at', '140', 'pounds', 'and', 'stand', 'as', 'high', 'as', '30', 'inches', 'at', 'the', 'shoulder', 'they', 're', 'much', 'taller', 'when', 'the', 'huge', 'brick', 'shaped', 'head', 'is', 'considered', 'the', 'tousled', 'all', 'black', 'coat', 'is', 'warm', 'enough', 'to', 'allow', 'brts', 'to', 'patrol', 'some', 'of', 'the', 'coldest', 'habitable', 'places', 'on', 'earth', 'the', 'old', 'expression', 'he', 'moves', 'well', 'for', 'a', 'big', 'guy', 'applies', 'to', 'this', 'nimble', 'footed', 'giant', 'the', 'black', 'russian', 'terrier', 'is', 'a', 'large', 'immensely', 'powerful', 'worker', 'of', 'heavy', 'bone', 'and', 'coarse', 'all', 'black', 'coat', 'brts', 'are', 'known', 'for', 'their', 'courage', 'confidence', 'and', 'intelligence', 'bred', 'to', 'guard', 'and', 'protect', 'they', 'are', 'naturally', 'aloof', 'with', 'strangers']"
41,Bloodhound,"bloodhounds are large, substantial dogs standing 23 to 27 inches at the shoulder and weighing up to 110 pounds. their most famous features are a long, wrinkled face with loose skin; huge, drooping ears; and warm, deep-set eyes that complete an expression of solemn dignity. coat colors can be black and tan, liver and tan, or red. powerful legs allow bloodhounds to scent over miles of punishing terrain.as pack dogs, bloodhounds enjoy company, including other dogs and kids. they are easygoing, but their nose can sometimes lead them into trouble. a strong leash and long walks in places where they can enjoy sniffing around are recommended. bloodhounds are droolers, and obedience training these sensitive sleuths can be a challenge. the world famous “sleuth hound” does one thing better than any creature on earth: find people who are lost or hiding. an off-duty bloodhound is among the canine kingdom’s most docile citizens, but he’s relentless and stubborn on scent.","Friendly, Independent, Inquisitive",49,58.42,68.58,36.2873896,49.895160700000005,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,"['bloodhounds', 'are', 'large', 'substantial', 'dogs', 'standing', '23', 'to', '27', 'inches', 'at', 'the', 'shoulder', 'and', 'weighing', 'up', 'to', '110', 'pounds', 'their', 'most', 'famous', 'features', 'are', 'a', 'long', 'wrinkled', 'face', 'with', 'loose', 'skin', 'huge', 'drooping', 'ears', 'and', 'warm', 'deep', 'set', 'eyes', 'that', 'complete', 'an', 'expression', 'of', 'solemn', 'dignity', 'coat', 'colors', 'can', 'be', 'black', 'and', 'tan', 'liver', 'and', 'tan', 'or', 'red', 'powerful', 'legs', 'allow', 'bloodhounds', 'to', 'scent', 'over', 'miles', 'of', 'punishing', 'terrain', 'as', 'pack', 'dogs', 'bloodhounds', 'enjoy', 'company', 'including', 'other', 'dogs', 'and', 'kids', 'they', 'are', 'easygoing', 'but', 'their', 'nose', 'can', 'sometimes', 'lead', 'them', 'into', 'trouble', 'a', 'strong', 'leash', 'and', 'long', 'walks', 'in', 'places', 'where', 'they', 'can', 'enjoy', 'sniffing', 'around', 'are', 'recommended', 'bloodhounds', 'are', 'droolers', 'and', 'obedience', 'training', 'these', 'sensitive', 'sleuths', 'can', 'be', 'a', 'challenge', 'the', 'world', 'famous', 'sleuth', 'hound', 'does', 'one', 'thing', 'better', 'than', 'any', 'creature', 'on', 'earth', 'find', 'people', 'who', 'are', 'lost', 'or', 'hiding', 'an', 'off', 'duty', 'bloodhound', 'is', 'among', 'the', 'canine', 'kingdom', 's', 'most', 'docile', 'citizens', 'but', 'he', 's', 'relentless', 'and', 'stubborn', 'on', 'scent']"
42,Bluetick Coonhound,"blueticks are speedy and compact nocturnal hunters named for the mottled (or “ticked”) black-and-blue pattern of the glossy coat. a large male can top out at 27 inches and 80 pounds; females are smaller. blueticks are well-muscled but sleek and racy, never chunky or clumsy. the baying, bawling, and chopping bark of blueticks might be cacophonous to some, but to coon hunters it’s the music of the night.the droopy-eared charm of blueticks is irresistible. they crave affection and are deeply devoted to those who provide it. blueticks have tremendous prey drive. neglected, underemployed coonhounds with no outlet for their hardwired impulses can develop problem behaviors, like serenading the neighbors with loud, mournful “music.” the sleekly beautiful bluetick coonhound is a sweet and affectionate charmer who might enjoy snoozing in the shade, but in pursuit of quarry he is relentless, bold, and single-minded. his off-the-charts prey drive must be channeled.","Smart, Devoted, Tenacious",130,53.34,68.58,20.41165665,36.2873896,11.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly,"['blueticks', 'are', 'speedy', 'and', 'compact', 'nocturnal', 'hunters', 'named', 'for', 'the', 'mottled', 'or', 'ticked', 'black', 'and', 'blue', 'pattern', 'of', 'the', 'glossy', 'coat', 'a', 'large', 'male', 'can', 'top', 'out', 'at', '27', 'inches', 'and', '80', 'pounds', 'females', 'are', 'smaller', 'blueticks', 'are', 'well', 'muscled', 'but', 'sleek', 'and', 'racy', 'never', 'chunky', 'or', 'clumsy', 'the', 'baying', 'bawling', 'and', 'chopping', 'bark', 'of', 'blueticks', 'might', 'be', 'cacophonous', 'to', 'some', 'but', 'to', 'coon', 'hunters', 'it', 's', 'the', 'music', 'of', 'the', 'night', 'the', 'droopy', 'eared', 'charm', 'of', 'blueticks', 'is', 'irresistible', 'they', 'crave', 'affection', 'and', 'are', 'deeply', 'devoted', 'to', 'those', 'who', 'provide', 'it', 'blueticks', 'have', 'tremendous', 'prey', 'drive', 'neglected', 'underemployed', 'coonhounds', 'with', 'no', 'outlet', 'for', 'their', 'hardwired', 'impulses', 'can', 'develop', 'problem', 'behaviors', 'like', 'serenading', 'the', 'neighbors', 'with', 'loud', 'mournful', 'music', 'the', 'sleekly', 'beautiful', 'bluetick', 'coonhound', 'is', 'a', 'sweet', 'and', 'affectionate', 'charmer', 'who', 'might', 'enjoy', 'snoozing', 'in', 'the', 'shade', 'but', 'in', 'pursuit', 'of', 'quarry', 'he', 'is', 'relentless', 'bold', 'and', 'single', 'minded', 'his', 'off', 'the', 'charts', 'prey', 'drive', 'must', 'be', 'channeled']"
43,Boerboel,"there’s a no-frills, no-nonsense quality to this sleek-coated avenger, who might stand as high as 27 inches at the shoulder and weigh as much as you do. a broad and blocky head, powerful jaws, and thick muscles from neck to rump mark it as a descendant of the ancient “molloser” dog family, the foundation of today’s mastiff-type breeds. in motion, the boerboel just might be the most agile of all mastiff types.the imposing boerboel is devoted to protecting the people and places he loves. training and socialization should begin early, before a pup becomes a dominant adult. this is a trainable, versatile breed, eager to spend time with their adored humans. still, a boerboel might be way too much dog for the novice owner to handle. boerboels are intimidating but discerning guardians of home and family who learned their trade while protecting remote south african homesteads from ferocious predators. they are dominant and confident, also bright and eager to learn.","Confident, Intelligent, Calm",121,55.88,68.58,68.0388555,90.718474,9.0,11.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers,"['there', 's', 'a', 'no', 'frills', 'no', 'nonsense', 'quality', 'to', 'this', 'sleek', 'coated', 'avenger', 'who', 'might', 'stand', 'as', 'high', 'as', '27', 'inches', 'at', 'the', 'shoulder', 'and', 'weigh', 'as', 'much', 'as', 'you', 'do', 'a', 'broad', 'and', 'blocky', 'head', 'powerful', 'jaws', 'and', 'thick', 'muscles', 'from', 'neck', 'to', 'rump', 'mark', 'it', 'as', 'a', 'descendant', 'of', 'the', 'ancient', 'molloser', 'dog', 'family', 'the', 'foundation', 'of', 'today', 's', 'mastiff', 'type', 'breeds', 'in', 'motion', 'the', 'boerboel', 'just', 'might', 'be', 'the', 'most', 'agile', 'of', 'all', 'mastiff', 'types', 'the', 'imposing', 'boerboel', 'is', 'devoted', 'to', 'protecting', 'the', 'people', 'and', 'places', 'he', 'loves', 'training', 'and', 'socialization', 'should', 'begin', 'early', 'before', 'a', 'pup', 'becomes', 'a', 'dominant', 'adult', 'this', 'is', 'a', 'trainable', 'versatile', 'breed', 'eager', 'to', 'spend', 'time', 'with', 'their', 'adored', 'humans', 'still', 'a', 'boerboel', 'might', 'be', 'way', 'too', 'much', 'dog', 'for', 'the', 'novice', 'owner', 'to', 'handle', 'boerboels', 'are', 'intimidating', 'but', 'discerning', 'guardians', 'of', 'home', 'and', 'family', 'who', 'learned', 'their', 'trade', 'while', 'protecting', 'remote', 'south', 'african', 'homesteads', 'from', 'ferocious', 'predators', 'they', 'are', 'dominant', 'and', 'confident', 'also', 'bright', 'and', 'eager', 'to', 'learn']"
