description, isdog, url
Discover how conservationists are reintroducing extinct wildlife in Iberá National Park,0,Discover how conservationists are reintroducing extinct wildlife in Iberá National Park
Actor Sean Astin as the title character of the college football movie 'Rudy.',0,Actor Sean Astin as the title character of the college football movie 'Rudy.'
A baby elephant drinks milk from a bottle held in its trunk while a man helps feed another elephant,0,A baby elephant drinks milk from a bottle held in its trunk while a man helps feed another elephant
A group of travelers pose for a photo, holding a flag with the words ‘National Geographic Society’,0,A group of travelers pose for a photo, holding a flag with the words ‘National Geographic Society’
Two women and a young girl walk through a grassy field wearing waterproof hiking jackets,0,Two women and a young girl walk through a grassy field wearing waterproof hiking jackets
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Dealer Resources,0,Dealer Resources
Dealer form,0,Dealer form
The labradoodle originated in a request from a blind woman in Hawaii, who needed a guide dog that wouldn’t inflame her husband’s allergies.,1,The labradoodle originated in a request from a blind woman in Hawaii, who needed a guide dog that wouldn’t inflame her husband’s allergies.
Yosemite National Park Map,0,Yosemite National Park Map
World Executive Map [Poster Size],0,World Executive Map [Poster Size]
Grand Canyon, North and South Rims Map [Grand Canyon National Park],0,Grand Canyon, North and South Rims Map [Grand Canyon National Park]
A labrador retriever wearing an electric dog collar,1,A labrador retriever wearing an electric dog collar
Olympic National Park Map,0,Olympic National Park Map
Glacier and Waterton Lakes National Parks Map,0,Glacier and Waterton Lakes National Parks Map
Yellowstone National Park Map,0,Yellowstone National Park Map
Grand Teton National Park Map,0,Grand Teton National Park Map
Great Smoky Mountains National Park Map,0,Great Smoky Mountains National Park Map
Rocky Mountain National Park Map,0,Rocky Mountain National Park Map
Zion National Park Map,0,Zion National Park Map
Yosemite National Park Map,0,Yosemite National Park Map
World Executive Map [Poster Size],0,World Executive Map [Poster Size]
Grand Canyon, North and South Rims Map [Grand Canyon National Park],0,Grand Canyon, North and South Rims Map [Grand Canyon National Park]
alfred-ng,0,alfred-ng
Olympic National Park Map,0,Olympic National Park Map
Glacier and Waterton Lakes National Parks Map,0,Glacier and Waterton Lakes National Parks Map
Yellowstone National Park Map,0,Yellowstone National Park Map
Grand Teton National Park Map,0,Grand Teton National Park Map
Great Smoky Mountains National Park Map,0,Great Smoky Mountains National Park Map
Rocky Mountain National Park Map,0,Rocky Mountain National Park Map
Zion National Park Map,0,Zion National Park Map
Prague Map,0,Prague Map
New York Map,0,New York Map
United States, California and Nevada Map,0,United States, California and Nevada Map
alfred-ng,0,alfred-ng
Delmarva Peninsula Map,0,Delmarva Peninsula Map
United States, Southeast Map,0,United States, Southeast Map
United States Executive Map [Enlarged],0,United States Executive Map [Enlarged]
Road Atlas 2023: Scenic Drives Edition [United States, Canada, Mexico],0,Road Atlas 2023: Scenic Drives Edition [United States, Canada, Mexico]
World with Flags & Facts Map [folded],0,World with Flags & Facts Map [folded]
Kremmling, Granby Map,0,Kremmling, Granby Map
National Parks of the United States Map,0,National Parks of the United States Map
Prague Map,0,Prague Map
New York Map,0,New York Map
United States, California and Nevada Map,0,United States, California and Nevada Map
k-9-selma-portrait,1,k-9-selma-portrait
Delmarva Peninsula Map,0,Delmarva Peninsula Map
United States, Southeast Map,0,United States, Southeast Map
United States Executive Map [Enlarged],0,United States Executive Map [Enlarged]
Road Atlas 2023: Scenic Drives Edition [United States, Canada, Mexico],0,Road Atlas 2023: Scenic Drives Edition [United States, Canada, Mexico]
World with Flags & Facts Map [folded],0,World with Flags & Facts Map [folded]
Kremmling, Granby Map,0,Kremmling, Granby Map
National Parks of the United States Map,0,National Parks of the United States Map
Map reader,0,Map reader
Wind River Range map,0,Wind River Range map
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Background image of National Geographic,0,Background image of National Geographic
National Geographic Elephant Plush – 10'',0,National Geographic Elephant Plush – 10''
National Geographic Elephant Plush – 10'',0,National Geographic Elephant Plush – 10''
National Geographic Elephant Plush – 10'',0,National Geographic Elephant Plush – 10''
National Geographic Elephant Tote Bag,0,National Geographic Elephant Tote Bag
National Geographic Elephant Tote Bag,0,National Geographic Elephant Tote Bag
National Geographic Elephant Pin – Limited Release,0,National Geographic Elephant Pin – Limited Release
National Geographic Elephant Pin – Limited Release,0,National Geographic Elephant Pin – Limited Release
Give the gift of everyday exploration with a subscription to National Geographic. Gift Now,0,Give the gift of everyday exploration with a subscription to National Geographic. Gift Now
National Geographic Elephants Striped T-Shirt for Adults,0,National Geographic Elephants Striped T-Shirt for Adults
a dog sitting among short green pine trees,0,a dog sitting among short green pine trees
National Geographic,0,National Geographic
Nat Geo Traveler,0,Nat Geo Traveler
a dog with its head hidden behind a bush and the sun rising behind it,1,a dog with its head hidden behind a bush and the sun rising behind it
Nat Geo History,0,Nat Geo History
Nat Geo Kids,0,Nat Geo Kids
Nat Geo Little Kids,0,Nat Geo Little Kids
Be you. Be here. Be part of the story.,0,Be you. Be here. Be part of the story.
Animals,0,Animals
the back of a dog with dust being churned up around it,0,the back of a dog with dust being churned up around it
Environment,0,Environment
Family,1,Family
Health,0,Health
History,0,History
Photography,0,Photography
Science,0,Science
The Compass,0,The Compass
Travel,0,Travel
a dog sniffing at a training device,1,a dog sniffing at a training device
a dog in red boots outside of a car at dusk,1,a dog in red boots outside of a car at dusk
a dog with their paws in the hands of a woman,1,a dog with their paws in the hands of a woman
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
a dog sitting and looking at a ball being held by a person,1,a dog sitting and looking at a ball being held by a person
a woman washing a dog with a hose,1,a woman washing a dog with a hose
two people walking behind a dog in a large field,0,two people walking behind a dog in a large field
a dog and a woman climbing over a fallen tree,1,a dog and a woman climbing over a fallen tree
a dog running through a field on a misty day,0,a dog running through a field on a misty day
K9 Search and Rescue Specialists Inc. cadaver dog, Chance, searching for a body in Tuscaloosa, Alabama.,1,K9 Search and Rescue Specialists Inc. cadaver dog, Chance, searching for a body in Tuscaloosa, Alabama.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,0,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
an Marine with his dog,1,an Marine with his dog
a Marine with his dog,1,a Marine with his dog
a Navy Master-At-Arms with his dog,1,a Navy Master-At-Arms with his dog
trainers at K2 Solutions training a dog to work with military and law enforcement units,1,trainers at K2 Solutions training a dog to work with military and law enforcement units
an Air Force staff sergeant with her dog,1,an Air Force staff sergeant with her dog
Air Force senior airman and his dog,1,Air Force senior airman and his dog
Army Staff Sgt. Terry Young and his German shepherd in Afghanistan,1,Army Staff Sgt. Terry Young and his German shepherd in Afghanistan
Eliana and Jose Armenta relaxing with their dogs,1,Eliana and Jose Armenta relaxing with their dogs
Seven-week-old Belgian Malinois puppies exercise at Lackland Air Force Base months before their training starts.,1,Seven-week-old Belgian Malinois puppies exercise at Lackland Air Force Base months before their training starts.
A Belgian Malinois learns obedience skills as it trains on an obstacle course at Lackland.,1,A Belgian Malinois learns obedience skills as it trains on an obstacle course at Lackland.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Handlers in training use an ammunition can as a dog stand-in to learn leash skills and hand signals at Lackland.,0,Handlers in training use an ammunition can as a dog stand-in to learn leash skills and hand signals at Lackland.
Lucky, a German shepherd, practices searching for explosives with his handler at Yuma Proving Ground in Arizona.,1,Lucky, a German shepherd, practices searching for explosives with his handler at Yuma Proving Ground in Arizona.
How to carry a wounded dog? A Belgian Malinois named Dino and his handler practice at Yuma.,1,How to carry a wounded dog? A Belgian Malinois named Dino and his handler practice at Yuma.
At Yuma, Marine Gunnery Sgt. Kristopher Knight conditions Ronnie to remain calm at the sound of gunfire.,1,At Yuma, Marine Gunnery Sgt. Kristopher Knight conditions Ronnie to remain calm at the sound of gunfire.
an Air Force dog handler and his dog on a helicopter transport in Afghanistan,0,an Air Force dog handler and his dog on a helicopter transport in Afghanistan
Army Staff Sgt. Jason Cartwright bonding with his Labrador retriever,1,Army Staff Sgt. Jason Cartwright bonding with his Labrador retriever
an Air Force dog handler clipping his dog's nails,1,an Air Force dog handler clipping his dog's nails
a Labrador retriever sniffing for weapons and explosives in a basement in Kandahar,1,a Labrador retriever sniffing for weapons and explosives in a basement in Kandahar
an Army veterinarian awaiting arrival of an injured military working dog,1,an Army veterinarian awaiting arrival of an injured military working dog
Staff Sgt. Thomas Sager carrying the body of a dog killed on patrol in Kandahar,0,Staff Sgt. Thomas Sager carrying the body of a dog killed on patrol in Kandahar
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
a black lab comforting a mother who lost her son in Afghanistan,1,a black lab comforting a mother who lost her son in Afghanistan
a retired military detection dog with his new family in Texas,1,a retired military detection dog with his new family in Texas
A London crowd gathers to see off Maj. Edwin Richardson, a World War I pioneer in war-dog training. His bloodhounds helped locate wounded soldiers and later carried messages between outposts during artillery bombardments.,1,A London crowd gathers to see off Maj. Edwin Richardson, a World War I pioneer in war-dog training. His bloodhounds helped locate wounded soldiers and later carried messages between outposts during artillery bombardments.
German troops take cover with a dog during World War I. The first organized military war-dog school was established in Germany in 1884.,1,German troops take cover with a dog during World War I. The first organized military war-dog school was established in Germany in 1884.
A French sergeant and his dog wear gas masks on the front lines in World War I. On the horizon, a wounded man is carried on a stretcher. With their sensitive noses, dogs were able to smell gas attacks and bark a warning before troops could detect the chemicals.,1,A French sergeant and his dog wear gas masks on the front lines in World War I. On the horizon, a wounded man is carried on a stretcher. With their sensitive noses, dogs were able to smell gas attacks and bark a warning before troops could detect the chemicals.
Soldiers present dogs for induction into the U.S. Army in 1942 in Front Royal, Virginia. After Pearl Harbor, Americans were encouraged to donate their dogs to the Army. Dogs sent from all 48 states were trained for patrol, sentry duty, mine detection, and as messengers.,1,Soldiers present dogs for induction into the U.S. Army in 1942 in Front Royal, Virginia. After Pearl Harbor, Americans were encouraged to donate their dogs to the Army. Dogs sent from all 48 states were trained for patrol, sentry duty, mine detection, and as messengers.
U.S. GIs in World War II treat a combat dog wounded in the battle for Guam.,1,U.S. GIs in World War II treat a combat dog wounded in the battle for Guam.
U.S. Marines and a combat dog run toward a helicopter in Tay Ninh, Vietnam, in 1968. Military dogs in Vietnam led jungle patrols and sniffed out weapons caches, among other duties. Despite protests from their handlers, at war’s end the military left some 4,000 dogs behind.,1,U.S. Marines and a combat dog run toward a helicopter in Tay Ninh, Vietnam, in 1968. Military dogs in Vietnam led jungle patrols and sniffed out weapons caches, among other duties. Despite protests from their handlers, at war’s end the military left some 4,000 dogs behind.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
dog carrying a piece of ivory,1,dog carrying a piece of ivory
an English Springer Spaniel sniffer dog at the Nairobi airport,1,an English Springer Spaniel sniffer dog at the Nairobi airport
skydiving with dog,0,skydiving with dog
a diabetes detection dog with owner,1,a diabetes detection dog with owner
a diabetes detection dog,1,a diabetes detection dog
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
<p>A Basset hound.</p>
,1,<p>A Basset hound.</p>

<p>A Labrador mix.</p>
,1,<p>A Labrador mix.</p>

<p>This dog is part Basset hound and part blue heeler.</p>
,1,<p>This dog is part Basset hound and part blue heeler.</p>

<p>An Akita/pit bull mix.</p>
,1,<p>An Akita/pit bull mix.</p>

<p>A Welsh corgi.</p>
,1,<p>A Welsh corgi.</p>

<p>A chocolate Labrador retriever.</p>
,1,<p>A chocolate Labrador retriever.</p>

<p>A two-month-old pit bull mix.</p>
,1,<p>A two-month-old pit bull mix.</p>

<p>An Airedale terrier.</p>
,1,<p>An Airedale terrier.</p>

<p>A three-month-old Chihuahua.</p>
,1,<p>A three-month-old Chihuahua.</p>

This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
<p>A yellow Labrador retriever.</p>
,1,<p>A yellow Labrador retriever.</p>

This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
visitors viewing a bronze statue of a gorilla,0,visitors viewing a bronze statue of a gorilla
a rescued mixed breed dog,1,a rescued mixed breed dog
After her first capybara died of liver failure, Melanie Typaldos bought Garibaldi Rous. The Texan was attracted to the giant rodents, which tend to die in captivity, after seeing wild ones in Venezuela.,0,After her first capybara died of liver failure, Melanie Typaldos bought Garibaldi Rous. The Texan was attracted to the giant rodents, which tend to die in captivity, after seeing wild ones in Venezuela.
Florida animal trainer Pamela Rosaire Zoppe bought Chance from pet owners who could no longer keep him. He now appears in Hollywood films. “Chimps are so intelligent that they get bored,” she says.,1,Florida animal trainer Pamela Rosaire Zoppe bought Chance from pet owners who could no longer keep him. He now appears in Hollywood films. “Chimps are so intelligent that they get bored,” she says.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Sasha, a cougar, is “the love of my life,” says Mario Infanti, who underwent more than a thousand hours of training before he acquired his first wild cats. The Florida musician had Sasha declawed when she was a month old, but “she can still bite.”,0,Sasha, a cougar, is “the love of my life,” says Mario Infanti, who underwent more than a thousand hours of training before he acquired his first wild cats. The Florida musician had Sasha declawed when she was a month old, but “she can still bite.”
A Burmese python entwines Albert Killian in the Florida home he shares with 60 snakes. Tags noting the proper antivenom—and the nearest hospital that carries it—are posted next to venomous pets.,0,A Burmese python entwines Albert Killian in the Florida home he shares with 60 snakes. Tags noting the proper antivenom—and the nearest hospital that carries it—are posted next to venomous pets.
John Matus bought Boo Boo impulsively as a cub. Last summer the Ohio man gave her to a wildlife sanctuary. “She needs to be with her own kind,” he says. “It’s a lonely life.”,0,John Matus bought Boo Boo impulsively as a cub. Last summer the Ohio man gave her to a wildlife sanctuary. “She needs to be with her own kind,” he says. “It’s a lonely life.”
Shawn Geary and Allo. Shawn is an IT professional. His grandmother had skunks that he played with as a child. His wife Carole always wanted one.,1,Shawn Geary and Allo. Shawn is an IT professional. His grandmother had skunks that he played with as a child. His wife Carole always wanted one.
Bobbi Phelan bought a patas monkey in part because they tend to avoid conflict. Even so, Eujo once got loose and scratched Phelan’s son and bit her dog. Eujo’s cage is attached to the living room of Phelan’s Indiana home, with a pet door leading outside to a larger enclosure.,1,Bobbi Phelan bought a patas monkey in part because they tend to avoid conflict. Even so, Eujo once got loose and scratched Phelan’s son and bit her dog. Eujo’s cage is attached to the living room of Phelan’s Indiana home, with a pet door leading outside to a larger enclosure.
Ohio veterinarian Melanie Butera took in Dillie after the blind farm deer’s mother rejected her. Dillie used to sleep with Butera but now has her own room. “She’s treated like a princess,” says Butera.,1,Ohio veterinarian Melanie Butera took in Dillie after the blind farm deer’s mother rejected her. Dillie used to sleep with Butera but now has her own room. “She’s treated like a princess,” says Butera.
Alison Pascoe Friedman, a zoologist, acquired Amelia in 1980 as a rescue and trained her for a behavioral research project. When the project ended, she brought the capuchin monkey to her home in New York. Amelia, 45, died in her sleep after this photo was taken.,1,Alison Pascoe Friedman, a zoologist, acquired Amelia in 1980 as a rescue and trained her for a behavioral research project. When the project ended, she brought the capuchin monkey to her home in New York. Amelia, 45, died in her sleep after this photo was taken.
<br>
“My life is completely about the animals,” says Leslie-Ann Rush, a Florida horse trainer. “I rarely leave them overnight or take a vacation.” She raised her kangaroos and lemurs from infancy.,1,<br>
“My life is completely about the animals,” says Leslie-Ann Rush, a Florida horse trainer. “I rarely leave them overnight or take a vacation.” She raised her kangaroos and lemurs from infancy.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
A lizard stands on rocky ground.,0,A lizard stands on rocky ground.
Bright white snow with a few branches and rocks fill a landscape as a white snowshoe hare runs across the scenery.,0,Bright white snow with a few branches and rocks fill a landscape as a white snowshoe hare runs across the scenery.
a panther leaps over a creek,1,a panther leaps over a creek
A panther and her two cubs,1,A panther and her two cubs
an artist paints a mural of a panther based off Carlton Ward Jr.'s photograph,0,an artist paints a mural of a panther based off Carlton Ward Jr.'s photograph
a woman sits on a dock in the everglades,0,a woman sits on a dock in the everglades
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
a man with a panther tattoo,0,a man with a panther tattoo
Through dark scenery you see a touch of light reflect of of a turtle and it sits on a log head slightly pitched up.,0,Through dark scenery you see a touch of light reflect of of a turtle and it sits on a log head slightly pitched up.
A black and white from from a sieries of night images taken of turtles,0,A black and white from from a sieries of night images taken of turtles
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
As a baby elephant seal draws near you see the details in it's nose and whiskers fan out from the camera, in the murky background you see two other young seals swimming together.,0,As a baby elephant seal draws near you see the details in it's nose and whiskers fan out from the camera, in the murky background you see two other young seals swimming together.
Elephant seals and sea lions are lay atop one another while napping on a beach.,1,Elephant seals and sea lions are lay atop one another while napping on a beach.
An elephant seal sleeps on it's side on a sandy beach with a sleep study cap.,0,An elephant seal sleeps on it's side on a sandy beach with a sleep study cap.
Elephant seals vary in colors of grey and black, they a piled on top of each other with mouths gaping.,0,Elephant seals vary in colors of grey and black, they a piled on top of each other with mouths gaping.
A wide group of elephant seals lay down together sleeping with water out in the distance.,1,A wide group of elephant seals lay down together sleeping with water out in the distance.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
capybaras sitting together in a group near a pond in Venezuela,0,capybaras sitting together in a group near a pond in Venezuela
a female axolotl swims against a dark background,0,a female axolotl swims against a dark background
a bearded dragon,0,a bearded dragon
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
a pair of white gloved hands holds a chestnut as the hard outer shell is opened with pliers,0,a pair of white gloved hands holds a chestnut as the hard outer shell is opened with pliers
A woman harvests chestnuts at the Tully Field Station.,0,A woman harvests chestnuts at the Tully Field Station.
Transgenic Chestnut Tree saplings in a greenhouse,0,Transgenic Chestnut Tree saplings in a greenhouse
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
a butterfly sits on a milkweed plant in Texas,0,a butterfly sits on a milkweed plant in Texas
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
A protestor is silhouetted,0,A protestor is silhouetted
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
Poison ivy climbing on the tree trunk.,0,Poison ivy climbing on the tree trunk.
Animals,0,Animals
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
a mummified rat held by two blue gloved hands over green pellet bait,1,a mummified rat held by two blue gloved hands over green pellet bait
Environment,0,Environment
a landscape view of the crescent shape of Lord Howe Island,0,a landscape view of the crescent shape of Lord Howe Island
two biosecurity officers place black bait stations for rats,0,two biosecurity officers place black bait stations for rats
hands hold a small fluffy baby petrel,0,hands hold a small fluffy baby petrel
a biosecurity dog inspects a boat,1,a biosecurity dog inspects a boat
a dead owl on a table with two gloved hands stretching wings and two headless woodhens,0,a dead owl on a table with two gloved hands stretching wings and two headless woodhens
a close up view of the swirling pattern in a snail shell on leaf litter,0,a close up view of the swirling pattern in a snail shell on leaf litter
two endemic semislugs on a tree branch,0,two endemic semislugs on a tree branch
